Size	P1	P2	P3	P4
1000	1082839.6	960292.06	1417291.0	1308071.0
2000	376993.16	344088.38	534398.5	403046.56
3000	381622.88	300742.88	478843.72	364408.47
4000	342051.56	280502.8	455473.3	352804.28
5000	443071.16	368322.4	578039.5	434841.44
6000	392537.7	336394.28	521243.56	391075.2
7000	348186.9	280859.7	434515.28	324318.2
8000	348734.72	318949.94	437766.62	339165.44
9000	276865.88	245220.6	338595.2	286878.28
10000	256119.19	247696.55	297354.25	261372.6
11000	207046.28	203678.14	224492.48	217983.69
12000	206650.38	215007.4	227591.98	213317.14
13000	244457.62	237231.05	253313.05	254049.44
14000	229733.48	234461.78	238549.92	244818.6
15000	240759.16	242488.4	257522.19	250900.69
16000	246662.88	260853.55	256435.2	267575.6
17000	261493.62	289495.62	270714.1	277579.66
18000	299903.75	335996.38	330806.4	345243.2
19000	370006.4	412349.0	365337.8	353832.16
20000	320076.12	356150.1	309682.16	320100.84
21000	308264.84	372636.38	313723.34	314373.53
22000	336133.62	383951.0	308757.12	331583.78
23000	336919.2	392613.62	309468.94	329588.0
24000	366983.03	428933.53	348074.1	371442.2
25000	386184.88	451842.6	352560.3	385179.72
26000	415356.03	479752.1	356059.75	377653.6
27000	408412.56	477629.03	348902.84	382851.47
28000	414903.03	495647.47	356976.7	408630.12
29000	417499.8	486824.9	360100.97	400827.0
30000	453149.1	532975.0	380377.84	446892.7
31000	462330.44	573276.25	391996.2	435573.53
32000	488942.0	632829.1	408195.28	473994.4
33000	479307.16	648999.6	399440.4	451450.47
34000	497674.28	681405.6	403062.97	458726.47
35000	569836.6	792593.6	443723.56	520985.0
36000	554900.94	820853.75	427251.6	504991.2
37000	586739.06	863434.3	465939.0	522012.8
38000	596254.75	850961.1	448287.6	518702.03
39000	648898.9	945964.0	506706.03	563873.25
40000	653586.1	955688.94	495544.97	559042.4
41000	737422.4	1038191.94	546931.6	587073.5
42000	704486.4	1009929.2	501495.56	575939.06
43000	725725.8	1037639.8	491460.84	560498.6
44000	731881.7	991648.06	480490.88	546654.75
45000	744607.75	1073888.1	503067.1	567621.06
46000	788569.06	1080725.0	504267.12	572164.6
47000	851600.6	1206562.8	571912.2	632880.56
48000	981514.6	1388951.4	630798.6	698041.75
49000	787496.0	1074091.2	475565.38	561477.5
50000	913986.5	1285697.8	588847.44	641764.6
